"account","period","start_date","end_date","commodity","value"
"Health:Life","2014-05-05","2014-05-05","2014-05-05","USD","0"
"Health:Life","2014-05-06","2014-05-06","2014-05-06","USD","0"
"Health:Life","2014-05-07","2014-05-07","2014-05-07","USD","0"
"Health:Life","2014-05-08","2014-05-08","2014-05-08","USD","24.32"
"Health:Life","2014-05-09","2014-05-09","2014-05-09","USD","0"
"Health:Life","2014-05-10","2014-05-10","2014-05-10","USD","0"
"Health:Life","2014-05-11","2014-05-11","2014-05-11","USD","0"
"Health:Life","2014-05-12","2014-05-12","2014-05-12","USD","0"
"Health:Life","2014-05-13","2014-05-13","2014-05-13","USD","0"
"Health:Life","2014-05-14","2014-05-14","2014-05-14","USD","0"
"Health:Life","2014-05-15","2014-05-15","2014-05-15","USD","0"
"Health:Life","2014-05-16","2014-05-16","2014-05-16","USD","0"
"Health:Life","2014-05-17","2014-05-17","2014-05-17","USD","0"
"Health:Life","2014-05-18","2014-05-18","2014-05-18","USD","0"
"Health:Life","2014-05-19","2014-05-19","2014-05-19","USD","0"
"Health:Life","2014-05-20","2014-05-20","2014-05-20","USD","0"
"Health:Life","2014-05-21","2014-05-21","2014-05-21","USD","0"
"Health:Life","2014-05-22","2014-05-22","2014-05-22","USD","24.32"
"Health:Life","2014-05-23","2014-05-23","2014-05-23","USD","0"
"Health:Life","2014-05-24","2014-05-24","2014-05-24","USD","0"
"Health:Life","2014-05-25","2014-05-25","2014-05-25","USD","0"
"Health:Life","2014-05-26","2014-05-26","2014-05-26","USD","0"
"Health:Life","2014-05-27","2014-05-27","2014-05-27","USD","0"
"Health:Life","2014-05-28","2014-05-28","2014-05-28","USD","0"
"Health:Life","2014-05-29","2014-05-29","2014-05-29","USD","0"
"Health:Life","2014-05-30","2014-05-30","2014-05-30","USD","0"
"Health:Life","2014-05-31","2014-05-31","2014-05-31","USD","0"
"Health:Life","2014-06-01","2014-06-01","2014-06-01","USD","0"
"Health:Life","2014-06-02","2014-06-02","2014-06-02","USD","0"
"Health:Life","2014-06-03","2014-06-03","2014-06-03","USD","0"
"Health:Life","2014-06-04","2014-06-04","2014-06-04","USD","0"
"Health:Life","2014-06-05","2014-06-05","2014-06-05","USD","24.32"
"Health:Life","2014-06-06","2014-06-06","2014-06-06","USD","0"
"Health:Life","2014-06-07","2014-06-07","2014-06-07","USD","0"
"Health:Life","2014-06-08","2014-06-08","2014-06-08","USD","0"
"Health:Life","2014-06-09","2014-06-09","2014-06-09","USD","0"
"Health:Life","2014-06-10","2014-06-10","2014-06-10","USD","0"
"Health:Life","2014-06-11","2014-06-11","2014-06-11","USD","0"
"Health:Life","2014-06-12","2014-06-12","2014-06-12","USD","0"
"Health:Life","2014-06-13","2014-06-13","2014-06-13","USD","0"
"Health:Life","2014-06-14","2014-06-14","2014-06-14","USD","0"
"Health:Life","2014-06-15","2014-06-15","2014-06-15","USD","0"
"Health:Life","2014-06-16","2014-06-16","2014-06-16","USD","0"
"Health:Life","2014-06-17","2014-06-17","2014-06-17","USD","0"
"Health:Life","2014-06-18","2014-06-18","2014-06-18","USD","0"
"Health:Life","2014-06-19","2014-06-19","2014-06-19","USD","24.32"
"Health:Life","2014-06-20","2014-06-20","2014-06-20","USD","0"
"Health:Life","2014-06-21","2014-06-21","2014-06-21","USD","0"
"Health:Life","2014-06-22","2014-06-22","2014-06-22","USD","0"
"Health:Life","2014-06-23","2014-06-23","2014-06-23","USD","0"
"Health:Life","2014-06-24","2014-06-24","2014-06-24","USD","0"
"Health:Life","2014-06-25","2014-06-25","2014-06-25","USD","0"
"Health:Life","2014-06-26","2014-06-26","2014-06-26","USD","0"
"Health:Life","2014-06-27","2014-06-27","2014-06-27","USD","0"
"Health:Life","2014-06-28","2014-06-28","2014-06-28","USD","0"
"Health:Life","2014-06-29","2014-06-29","2014-06-29","USD","0"
"Health:Life","2014-06-30","2014-06-30","2014-06-30","USD","0"
"Health:Life","2014-07-01","2014-07-01","2014-07-01","USD","0"
"Health:Life","2014-07-02","2014-07-02","2014-07-02","USD","0"
"Health:Life","2014-07-03","2014-07-03","2014-07-03","USD","24.32"
"Health:Life","2014-07-04","2014-07-04","2014-07-04","USD","0"
"Health:Life","2014-07-05","2014-07-05","2014-07-05","USD","0"
"Health:Life","2014-07-06","2014-07-06","2014-07-06","USD","0"
"Health:Life","2014-07-07","2014-07-07","2014-07-07","USD","0"
"Health:Life","2014-07-08","2014-07-08","2014-07-08","USD","0"
"Health:Life","2014-07-09","2014-07-09","2014-07-09","USD","0"
"Health:Life","2014-07-10","2014-07-10","2014-07-10","USD","0"
"Health:Life","2014-07-11","2014-07-11","2014-07-11","USD","0"
"Health:Life","2014-07-12","2014-07-12","2014-07-12","USD","0"
"Health:Life","2014-07-13","2014-07-13","2014-07-13","USD","0"
"Health:Life","2014-07-14","2014-07-14","2014-07-14","USD","0"
"Health:Life","2014-07-15","2014-07-15","2014-07-15","USD","0"
"Health:Life","2014-07-16","2014-07-16","2014-07-16","USD","0"
"Health:Life","2014-07-17","2014-07-17","2014-07-17","USD","24.32"
"Health:Life","2014-07-18","2014-07-18","2014-07-18","USD","0"
"Health:Life","2014-07-19","2014-07-19","2014-07-19","USD","0"
"Health:Life","2014-07-20","2014-07-20","2014-07-20","USD","0"
"Health:Life","2014-07-21","2014-07-21","2014-07-21","USD","0"
"Health:Life","2014-07-22","2014-07-22","2014-07-22","USD","0"
"Health:Life","2014-07-23","2014-07-23","2014-07-23","USD","0"
"Health:Life","2014-07-24","2014-07-24","2014-07-24","USD","0"
"Health:Life","2014-07-25","2014-07-25","2014-07-25","USD","0"
"Health:Life","2014-07-26","2014-07-26","2014-07-26","USD","0"
"Health:Life","2014-07-27","2014-07-27","2014-07-27","USD","0"
"Health:Life","2014-07-28","2014-07-28","2014-07-28","USD","0"
"Health:Life","2014-07-29","2014-07-29","2014-07-29","USD","0"
"Health:Life","2014-07-30","2014-07-30","2014-07-30","USD","0"
"Health:Life","2014-07-31","2014-07-31","2014-07-31","USD","24.32"
"Health:Life","2014-08-01","2014-08-01","2014-08-01","USD","0"
"Health:Life","2014-08-02","2014-08-02","2014-08-02","USD","0"
"Health:Life","2014-08-03","2014-08-03","2014-08-03","USD","0"
"Health:Life","2014-08-04","2014-08-04","2014-08-04","USD","0"
"Health:Life","2014-08-05","2014-08-05","2014-08-05","USD","0"
"Health:Life","2014-08-06","2014-08-06","2014-08-06","USD","0"
"Health:Life","2014-08-07","2014-08-07","2014-08-07","USD","0"
"Health:Life","2014-08-08","2014-08-08","2014-08-08","USD","0"
"Health:Life","2014-08-09","2014-08-09","2014-08-09","USD","0"
"Health:Life","2014-08-10","2014-08-10","2014-08-10","USD","0"
"Health:Life","2014-08-11","2014-08-11","2014-08-11","USD","0"
"Health:Life","2014-08-12","2014-08-12","2014-08-12","USD","0"
"Health:Life","2014-08-13","2014-08-13","2014-08-13","USD","0"
"Health:Life","2014-08-14","2014-08-14","2014-08-14","USD","24.32"
"Health:Life","2014-08-15","2014-08-15","2014-08-15","USD","0"
"Health:Life","2014-08-16","2014-08-16","2014-08-16","USD","0"
"Health:Life","2014-08-17","2014-08-17","2014-08-17","USD","0"
"Health:Life","2014-08-18","2014-08-18","2014-08-18","USD","0"
"Health:Life","2014-08-19","2014-08-19","2014-08-19","USD","0"
"Health:Life","2014-08-20","2014-08-20","2014-08-20","USD","0"
"Health:Life","2014-08-21","2014-08-21","2014-08-21","USD","0"
"Health:Life","2014-08-22","2014-08-22","2014-08-22","USD","0"
"Health:Life","2014-08-23","2014-08-23","2014-08-23","USD","0"
"Health:Life","2014-08-24","2014-08-24","2014-08-24","USD","0"
"Health:Life","2014-08-25","2014-08-25","2014-08-25","USD","0"
"Health:Life","2014-08-26","2014-08-26","2014-08-26","USD","0"
"Health:Life","2014-08-27","2014-08-27","2014-08-27","USD","0"
"Health:Life","2014-08-28","2014-08-28","2014-08-28","USD","24.32"
"Health:Life","2014-08-29","2014-08-29","2014-08-29","USD","0"
"Health:Life","2014-08-30","2014-08-30","2014-08-30","USD","0"
"Health:Life","2014-08-31","2014-08-31","2014-08-31","USD","0"
"Health:Life","2014-09-01","2014-09-01","2014-09-01","USD","0"
"Health:Life","2014-09-02","2014-09-02","2014-09-02","USD","0"
"Health:Life","2014-09-03","2014-09-03","2014-09-03","USD","0"
"Health:Life","2014-09-04","2014-09-04","2014-09-04","USD","0"
"Health:Life","2014-09-05","2014-09-05","2014-09-05","USD","0"
"Health:Life","2014-09-06","2014-09-06","2014-09-06","USD","0"
"Health:Life","2014-09-07","2014-09-07","2014-09-07","USD","0"
"Health:Life","2014-09-08","2014-09-08","2014-09-08","USD","0"
"Health:Life","2014-09-09","2014-09-09","2014-09-09","USD","0"
"Health:Life","2014-09-10","2014-09-10","2014-09-10","USD","0"
"Health:Life","2014-09-11","2014-09-11","2014-09-11","USD","24.32"
"Health:Life","2014-09-12","2014-09-12","2014-09-12","USD","0"
"Health:Life","2014-09-13","2014-09-13","2014-09-13","USD","0"
"Health:Life","2014-09-14","2014-09-14","2014-09-14","USD","0"
"Health:Life","2014-09-15","2014-09-15","2014-09-15","USD","0"
"Health:Life","2014-09-16","2014-09-16","2014-09-16","USD","0"
"Health:Life","2014-09-17","2014-09-17","2014-09-17","USD","0"
"Health:Life","2014-09-18","2014-09-18","2014-09-18","USD","0"
"Health:Life","2014-09-19","2014-09-19","2014-09-19","USD","0"
"Health:Life","2014-09-20","2014-09-20","2014-09-20","USD","0"
"Health:Life","2014-09-21","2014-09-21","2014-09-21","USD","0"
"Health:Life","2014-09-22","2014-09-22","2014-09-22","USD","0"
"Health:Life","2014-09-23","2014-09-23","2014-09-23","USD","0"
"Health:Life","2014-09-24","2014-09-24","2014-09-24","USD","0"
"Health:Life","2014-09-25","2014-09-25","2014-09-25","USD","24.32"
"Health:Life","2014-09-26","2014-09-26","2014-09-26","USD","0"
"Health:Life","2014-09-27","2014-09-27","2014-09-27","USD","0"
"Health:Life","2014-09-28","2014-09-28","2014-09-28","USD","0"
"Health:Life","2014-09-29","2014-09-29","2014-09-29","USD","0"
"Health:Life","2014-09-30","2014-09-30","2014-09-30","USD","0"
"Health:Life","2014-10-01","2014-10-01","2014-10-01","USD","0"
"Health:Life","2014-10-02","2014-10-02","2014-10-02","USD","0"
"Health:Life","2014-10-03","2014-10-03","2014-10-03","USD","0"
"Health:Life","2014-10-04","2014-10-04","2014-10-04","USD","0"
"Health:Life","2014-10-05","2014-10-05","2014-10-05","USD","0"
"Health:Life","2014-10-06","2014-10-06","2014-10-06","USD","0"
"Health:Life","2014-10-07","2014-10-07","2014-10-07","USD","0"
"Health:Life","2014-10-08","2014-10-08","2014-10-08","USD","0"
"Health:Life","2014-10-09","2014-10-09","2014-10-09","USD","24.32"
"Health:Life","2014-10-10","2014-10-10","2014-10-10","USD","0"
"Health:Life","2014-10-11","2014-10-11","2014-10-11","USD","0"
"Health:Medical","2012-01-03","2012-01-03","2012-01-03","USD","0"
"Health:Medical","2012-01-04","2012-01-04","2012-01-04","USD","0"
"Health:Medical","2012-01-05","2012-01-05","2012-01-05","USD","27.38"
"Health:Medical","2012-01-06","2012-01-06","2012-01-06","USD","0"
"Health:Medical","2012-01-07","2012-01-07","2012-01-07","USD","0"
"Health:Medical","2012-01-08","2012-01-08","2012-01-08","USD","0"
"Health:Medical","2012-01-09","2012-01-09","2012-01-09","USD","0"
"Health:Medical","2012-01-10","2012-01-10","2012-01-10","USD","0"
"Health:Medical","2012-01-11","2012-01-11","2012-01-11","USD","0"
"Health:Medical","2012-01-12","2012-01-12","2012-01-12","USD","0"
"Health:Medical","2012-01-13","2012-01-13","2012-01-13","USD","0"
"Health:Medical","2012-01-14","2012-01-14","2012-01-14","USD","0"
"Health:Medical","2012-01-15","2012-01-15","2012-01-15","USD","0"
"Health:Medical","2012-01-16","2012-01-16","2012-01-16","USD","0"
"Health:Medical","2012-01-17","2012-01-17","2012-01-17","USD","0"
"Health:Medical","2012-01-18","2012-01-18","2012-01-18","USD","0"
"Health:Medical","2012-01-19","2012-01-19","2012-01-19","USD","27.38"
"Health:Medical","2012-01-20","2012-01-20","2012-01-20","USD","0"
"Health:Medical","2012-01-21","2012-01-21","2012-01-21","USD","0"
"Health:Medical","2012-01-22","2012-01-22","2012-01-22","USD","0"
"Health:Medical","2012-01-23","2012-01-23","2012-01-23","USD","0"
"Health:Medical","2012-01-24","2012-01-24","2012-01-24","USD","0"
"Health:Medical","2012-01-25","2012-01-25","2012-01-25","USD","0"
"Health:Medical","2012-01-26","2012-01-26","2012-01-26","USD","0"
"Health:Medical","2012-01-27","2012-01-27","2012-01-27","USD","0"
"Health:Medical","2012-01-28","2012-01-28","2012-01-28","USD","0"
"Health:Medical","2012-01-29","2012-01-29","2012-01-29","USD","0"
"Health:Medical","2012-01-30","2012-01-30","2012-01-30","USD","0"
"Health:Medical","2012-01-31","2012-01-31","2012-01-31","USD","0"
"Health:Medical","2012-02-01","2012-02-01","2012-02-01","USD","0"
"Health:Medical","2012-02-02","2012-02-02","2012-02-02","USD","27.38"
"Health:Medical","2012-02-03","2012-02-03","2012-02-03","USD","0"
"Health:Medical","2012-02-04","2012-02-04","2012-02-04","USD","0"
"Health:Medical","2012-02-05","2012-02-05","2012-02-05","USD","0"
"Health:Medical","2012-02-06","2012-02-06","2012-02-06","USD","0"
"Health:Medical","2012-02-07","2012-02-07","2012-02-07","USD","0"
"Health:Medical","2012-02-08","2012-02-08","2012-02-08","USD","0"
"Health:Medical","2012-02-09","2012-02-09","2012-02-09","USD","0"
"Health:Medical","2012-02-10","2012-02-10","2012-02-10","USD","0"
"Health:Medical","2012-02-11","2012-02-11","2012-02-11","USD","0"
"Health:Medical","2012-02-12","2012-02-12","2012-02-12","USD","0"
"Health:Medical","2012-02-13","2012-02-13","2012-02-13","USD","0"
"Health:Medical","2012-02-14","2012-02-14","2012-02-14","USD","0"
"Health:Medical","2012-02-15","2012-02-15","2012-02-15","USD","0"
"Health:Medical","2012-02-16","2012-02-16","2012-02-16","USD","27.38"
"Health:Medical","2012-02-17","2012-02-17","2012-02-17","USD","0"
"Health:Medical","2012-02-18","2012-02-18","2012-02-18","USD","0"
"Health:Medical","2012-02-19","2012-02-19","2012-02-19","USD","0"
"Health:Medical","2012-02-20","2012-02-20","2012-02-20","USD","0"
"Health:Medical","2012-02-21","2012-02-21","2012-02-21","USD","0"
"Health:Medical","2012-02-22","2012-02-22","2012-02-22","USD","0"
"Health:Medical","2012-02-23","2012-02-23","2012-02-23","USD","0"
"Health:Medical","2012-02-24","2012-02-24","2012-02-24","USD","0"
"Health:Medical","2012-02-25","2012-02-25","2012-02-25","USD","0"
"Health:Medical","2012-02-26","2012-02-26","2012-02-26","USD","0"
"Health:Medical","2012-02-27","2012-02-27","2012-02-27","USD","0"
"Health:Medical","2012-02-28","2012-02-28","2012-02-28","USD","0"
"Health:Medical","2012-02-29","2012-02-29","2012-02-29","USD","0"
"Health:Medical","2012-03-01","2012-03-01","2012-03-01","USD","27.38"
"Health:Medical","2012-03-02","2012-03-02","2012-03-02","USD","0"
"Health:Medical","2012-03-03","2012-03-03","2012-03-03","USD","0"
"Health:Medical","2012-03-04","2012-03-04","2012-03-04","USD","0"
"Health:Medical","2012-03-05","2012-03-05","2012-03-05","USD","0"
"Health:Medical","2012-03-06","2012-03-06","2012-03-06","USD","0"
"Health:Medical","2012-03-07","2012-03-07","2012-03-07","USD","0"
"Health:Medical","2012-03-08","2012-03-08","2012-03-08","USD","0"
"Health:Medical","2012-03-09","2012-03-09","2012-03-09","USD","0"
"Health:Medical","2012-03-10","2012-03-10","2012-03-10","USD","0"
"Health:Medical","2012-03-11","2012-03-11","2012-03-11","USD","0"
"Health:Medical","2012-03-12","2012-03-12","2012-03-12","USD","0"
"Health:Medical","2012-03-13","2012-03-13","2012-03-13","USD","0"
"Health:Medical","2012-03-14","2012-03-14","2012-03-14","USD","0"
"Health:Medical","2012-03-15","2012-03-15","2012-03-15","USD","27.38"
"Health:Medical","2012-03-16","2012-03-16","2012-03-16","USD","0"
"Health:Medical","2012-03-17","2012-03-17","2012-03-17","USD","0"
"Health:Medical","2012-03-18","2012-03-18","2012-03-18","USD","0"
"Health:Medical","2012-03-19","2012-03-19","2012-03-19","USD","0"
"Health:Medical","2012-03-20","2012-03-20","2012-03-20","USD","0"
"Health:Medical","2012-03-21","2012-03-21","2012-03-21","USD","0"
"Health:Medical","2012-03-22","2012-03-22","2012-03-22","USD","0"
"Health:Medical","2012-03-23","2012-03-23","2012-03-23","USD","0"
"Health:Medical","2012-03-24","2012-03-24","2012-03-24","USD","0"
"Health:Medical","2012-03-25","2012-03-25","2012-03-25","USD","0"
"Health:Medical","2012-03-26","2012-03-26","2012-03-26","USD","0"
"Health:Medical","2012-03-27","2012-03-27","2012-03-27","USD","0"
"Health:Medical","2012-03-28","2012-03-28","2012-03-28","USD","0"
"Health:Medical","2012-03-29","2012-03-29","2012-03-29","USD","27.38"
"Health:Medical","2012-03-30","2012-03-30","2012-03-30","USD","0"
"Health:Medical","2012-03-31","2012-03-31","2012-03-31","USD","0"
"Health:Medical","2012-04-01","2012-04-01","2012-04-01","USD","0"
"Health:Medical","2012-04-02","2012-04-02","2012-04-02","USD","0"
"Health:Medical","2012-04-03","2012-04-03","2012-04-03","USD","0"
"Health:Medical","2012-04-04","2012-04-04","2012-04-04","USD","0"
"Health:Medical","2012-04-05","2012-04-05","2012-04-05","USD","0"
"Health:Medical","2012-04-06","2012-04-06","2012-04-06","USD","0"
"Health:Medical","2012-04-07","2012-04-07","2012-04-07","USD","0"
"Health:Medical","2012-04-08","2012-04-08","2012-04-08","USD","0"
"Health:Medical","2012-04-09","2012-04-09","2012-04-09","USD","0"
"Health:Medical","2012-04-10","2012-04-10","2012-04-10","USD","0"
"Health:Medical","2012-04-11","2012-04-11","2012-04-11","USD","0"
"Health:Medical","2012-04-12","2012-04-12","2012-04-12","USD","27.38"
"Health:Medical","2012-04-13","2012-04-13","2012-04-13","USD","0"
"Health:Medical","2012-04-14","2012-04-14","2012-04-14","USD","0"
"Health:Medical","2012-04-15","2012-04-15","2012-04-15","USD","0"
"Health:Medical","2012-04-16","2012-04-16","2012-04-16","USD","0"
"Health:Medical","2012-04-17","2012-04-17","2012-04-17","USD","0"
"Health:Medical","2012-04-18","2012-04-18","2012-04-18","USD","0"
"Health:Medical","2012-04-19","2012-04-19","2012-04-19","USD","0"
"Health:Medical","2012-04-20","2012-04-20","2012-04-20","USD","0"
"Health:Medical","2012-04-21","2012-04-21","2012-04-21","USD","0"
"Health:Medical","2012-04-22","2012-04-22","2012-04-22","USD","0"
"Health:Medical","2012-04-23","2012-04-23","2012-04-23","USD","0"
"Health:Medical","2012-04-24","2012-04-24","2012-04-24","USD","0"
"Health:Medical","2012-04-25","2012-04-25","2012-04-25","USD","0"
"Health:Medical","2012-04-26","2012-04-26","2012-04-26","USD","27.38"
"Health:Medical","2012-04-27","2012-04-27","2012-04-27","USD","0"
"Health:Medical","2012-04-28","2012-04-28","2012-04-28","USD","0"
"Health:Medical","2012-04-29","2012-04-29","2012-04-29","USD","0"
"Health:Medical","2012-04-30","2012-04-30","2012-04-30","USD","0"
"Health:Medical","2012-05-01","2012-05-01","2012-05-01","USD","0"
"Health:Medical","2012-05-02","2012-05-02","2012-05-02","USD","0"
"Health:Medical","2012-05-03","2012-05-03","2012-05-03","USD","0"
"Health:Medical","2012-05-04","2012-05-04","2012-05-04","USD","0"
"Health:Medical","2012-05-05","2012-05-05","2012-05-05","USD","0"
"Health:Medical","2012-05-06","2012-05-06","2012-05-06","USD","0"
"Health:Medical","2012-05-07","2012-05-07","2012-05-07","USD","0"
"Health:Medical","2012-05-08","2012-05-08","2012-05-08","USD","0"
"Health:Medical","2012-05-09","2012-05-09","2012-05-09","USD","0"
"Health:Medical","2012-05-10","2012-05-10","2012-05-10","USD","27.38"
"Health:Medical","2012-05-11","2012-05-11","2012-05-11","USD","0"
"Health:Medical","2012-05-12","2012-05-12","2012-05-12","USD","0"
"Health:Medical","2012-05-13","2012-05-13","2012-05-13","USD","0"
"Health:Medical","2012-05-14","2012-05-14","2012-05-14","USD","0"
"Health:Medical","2012-05-15","2012-05-15","2012-05-15","USD","0"
"Health:Medical","2012-05-16","2012-05-16","2012-05-16","USD","0"
"Health:Medical","2012-05-17","2012-05-17","2012-05-17","USD","0"
"Health:Medical","2012-05-18","2012-05-18","2012-05-18","USD","0"
"Health:Medical","2012-05-19","2012-05-19","2012-05-19","USD","0"
"Health:Medical","2012-05-20","2012-05-20","2012-05-20","USD","0"
"Health:Medical","2012-05-21","2012-05-21","2012-05-21","USD","0"
"Health:Medical","2012-05-22","2012-05-22","2012-05-22","USD","0"
"Health:Medical","2012-05-23","2012-05-23","2012-05-23","USD","0"
"Health:Medical","2012-05-24","2012-05-24","2012-05-24","USD","27.38"
"Health:Medical","2012-05-25","2012-05-25","2012-05-25","USD","0"
"Health:Medical","2012-05-26","2012-05-26","2012-05-26","USD","0"
"Health:Medical","2012-05-27","2012-05-27","2012-05-27","USD","0"
"Health:Medical","2012-05-28","2012-05-28","2012-05-28","USD","0"
"Health:Medical","2012-05-29","2012-05-29","2012-05-29","USD","0"
"Health:Medical","2012-05-30","2012-05-30","2012-05-30","USD","0"
"Health:Medical","2012-05-31","2012-05-31","2012-05-31","USD","0"
"Health:Medical","2012-06-01","2012-06-01","2012-06-01","USD","0"
"Health:Medical","2012-06-02","2012-06-02","2012-06-02","USD","0"
"Health:Medical","2012-06-03","2012-06-03","2012-06-03","USD","0"
"Health:Medical","2012-06-04","2012-06-04","2012-06-04","USD","0"
"Health:Medical","2012-06-05","2012-06-05","2012-06-05","USD","0"
"Health:Medical","2012-06-06","2012-06-06","2012-06-06","USD","0"
"Health:Medical","2012-06-07","2012-06-07","2012-06-07","USD","27.38"
"Health:Medical","2012-06-08","2012-06-08","2012-06-08","USD","0"
"Health:Medical","2012-06-09","2012-06-09","2012-06-09","USD","0"
"Health:Medical","2012-06-10","2012-06-10","2012-06-10","USD","0"
"Health:Medical","2012-06-11","2012-06-11","2012-06-11","USD","0"
"Health:Medical","2012-06-12","2012-06-12","2012-06-12","USD","0"
"Health:Medical","2012-06-13","2012-06-13","2012-06-13","USD","0"
"Health:Medical","2012-06-14","2012-06-14","2012-06-14","USD","0"
"Health:Medical","2012-06-15","2012-06-15","2012-06-15","USD","0"
"Health:Medical","2012-06-16","2012-06-16","2012-06-16","USD","0"
"Health:Medical","2012-06-17","2012-06-17","2012-06-17","USD","0"
"Health:Medical","2012-06-18","2012-06-18","2012-06-18","USD","0"
"Health:Medical","2012-06-19","2012-06-19","2012-06-19","USD","0"
"Health:Medical","2012-06-20","2012-06-20","2012-06-20","USD","0"
"Health:Medical","2012-06-21","2012-06-21","2012-06-21","USD","27.38"
"Health:Medical","2012-06-22","2012-06-22","2012-06-22","USD","0"
"Health:Medical","2012-06-23","2012-06-23","2012-06-23","USD","0"
"Health:Medical","2012-06-24","2012-06-24","2012-06-24","USD","0"
"Health:Medical","2012-06-25","2012-06-25","2012-06-25","USD","0"
"Health:Medical","2012-06-26","2012-06-26","2012-06-26","USD","0"
"Health:Medical","2012-06-27","2012-06-27","2012-06-27","USD","0"
"Health:Medical","2012-06-28","2012-06-28","2012-06-28","USD","0"
"Health:Medical","2012-06-29","2012-06-29","2012-06-29","USD","0"
"Health:Medical","2012-06-30","2012-06-30","2012-06-30","USD","0"
"Health:Medical","2012-07-01","2012-07-01","2012-07-01","USD","0"
"Health:Medical","2012-07-02","2012-07-02","2012-07-02","USD","0"
"Health:Medical","2012-07-03","2012-07-03","2012-07-03","USD","0"
"Health:Medical","2012-07-04","2012-07-04","2012-07-04","USD","0"
"Health:Medical","2012-07-05","2012-07-05","2012-07-05","USD","27.38"
"Health:Medical","2012-07-06","2012-07-06","2012-07-06","USD","0"
"Health:Medical","2012-07-07","2012-07-07","2012-07-07","USD","0"
"Health:Medical","2012-07-08","2012-07-08","2012-07-08","USD","0"
"Health:Medical","2012-07-09","2012-07-09","2012-07-09","USD","0"
"Health:Medical","2012-07-10","2012-07-10","2012-07-10","USD","0"
"Health:Medical","2012-07-11","2012-07-11","2012-07-11","USD","0"
"Health:Medical","2012-07-12","2012-07-12","2012-07-12","USD","0"
"Health:Medical","2012-07-13","2012-07-13","2012-07-13","USD","0"
"Health:Medical","2012-07-14","2012-07-14","2012-07-14","USD","0"
"Health:Medical","2012-07-15","2012-07-15","2012-07-15","USD","0"
"Health:Medical","2012-07-16","2012-07-16","2012-07-16","USD","0"
"Health:Medical","2012-07-17","2012-07-17","2012-07-17","USD","0"
"Health:Medical","2012-07-18","2012-07-18","2012-07-18","USD","0"
"Health:Medical","2012-07-19","2012-07-19","2012-07-19","USD","27.38"
"Health:Medical","2012-07-20","2012-07-20","2012-07-20","USD","0"
"Health:Medical","2012-07-21","2012-07-21","2012-07-21","USD","0"
"Health:Medical","2012-07-22","2012-07-22","2012-07-22","USD","0"
"Health:Medical","2012-07-23","2012-07-23","2012-07-23","USD","0"
"Health:Medical","2012-07-24","2012-07-24","2012-07-24","USD","0"
"Health:Medical","2012-07-25","2012-07-25","2012-07-25","USD","0"
"Health:Medical","2012-07-26","2012-07-26","2012-07-26","USD","0"
"Health:Medical","2012-07-27","2012-07-27","2012-07-27","USD","0"
"Health:Medical","2012-07-28","2012-07-28","2012-07-28","USD","0"
